"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"37721-612";"0015891";"QCBBD";"Xylomaris";"00612";false;;;;;0;0;false;false;false;true;false
"23226-1537";"0013771";"NBDA";"Revitalose C 1000";"01537";false;;;;;0;0;false;false;false;true;false
"37853-1800";"8900748";"MBEA";"Ninlaro";"01800";false;;;;;0;0;true;false;false;true;false
"7252-1446";"0004986";"EEFA";"Depo-Medrol + Lidocaine";"01446";false;;;"C";"C";0;0;false;false;false;true;false
"37796-2097";"0011338";"LAAFA";"Avaxim";"02097";false;;;;;0;0;false;false;false;true;false
"37879-273";"0015552";"PHA";"Ximaract";"00273";false;;;;;0;0;false;false;false;true;false
"37804-3103";"0005363";"FBAAD";"Annaïs 20";"03103";false;;;;;0;0;false;false;false;true;false
"37812-3103";"0005363";"FBAAD";"Annaïs 30";"03103";false;;;;;0;0;false;false;false;true;false
"38000-554";"0018143";"JMA";"Teglutik";"00554";false;;;;;0;0;false;false;false;true;false
"38026-554";"0005637";"FCACA";"Blissel";"00554";false;;;;;0;0;false;false;false;true;false
"21949-1446";"0021295";"LABFB";"Prevenar 13";"01446";false;;;;;0;0;false;false;false;true;false
"38042-612";"0001586";"ALAC";"Rosuvastatine EG";"00612";false;;;;;0;0;false;false;false;true;false
"38059-1636";"0019448";"GCAC";"Tadalafil Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"38034-1818";"0019448";"GCAC";"Tadalafil Teva";"01818";false;;;;;0;0;false;false;false;true;false
"38125-2949";"0018671";"TCA";"2Lveru";"02949";false;;;;;0;0;false;false;false;true;false
"38133-2949";"0018671";"TCA";"2Lpapi";"02949";false;;;;;0;0;false;false;false;true;false
"38141-3103";"0005702";"FCBAA";"Laclimella";"03103";false;;;;;0;0;false;false;false;true;false
"38174-612";"0025981";"PDFB";"Travoprost / Timolol EG";"00612";false;;;"B";"B";0;0;false;false;false;true;false
"37986-570";"0028407";"LCBEAAB";"Olumiant";"00570";false;;;;;0;0;false;false;false;true;false
"37937-836";"0016246";"SAACA";"Xenetix";"00836";false;;;;;0;0;false;false;false;true;false
"38075-1289";"0019448";"GCAC";"Tadalafil Mylan";"01289";false;;;;;0;0;false;false;false;true;false
"38224-1818";"0001586";"ALAC";"Rosuvastatine Teva";"01818";false;;;;;0;0;false;false;false;true;false
"38265-3103";"0005348";"FBAAB";"Noranelle 30/150";"03103";false;;;;;0;0;false;false;false;true;false
"38273-2923";"0028522";"JDBD";"Wakix";"02923";true;;;;;0;0;true;false;false;true;false
"37747-1636";"0020289";"JGBCA";"Pregabaline Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"38323-1354";"0004192";"EAAAA";"Fiasp";"01354";false;;;"H";"H";0;0;false;false;false;true;false
"38331-3640";"0001586";"ALAC";"Rosuvastatin HCS";"03640";false;;;;;0;0;false;false;false;true;false
"18796-299";"8900706";"MBCLA";"Nexavar";"00299";false;;;;;0;0;false;false;false;true;false
"38596-612";"8906729";"ALIC";"Ezetimibe / Simvastatine EG";"00612";false;;;;;0;0;false;false;false;true;false
"38307-1289";"0001586";"ALAC";"Rosuvastatine Viatris";"01289";false;;;;;0;0;false;false;false;true;false
